id_pokemon;name_pokemon;Type 1;Type 2;hp;attack;defense;sp_atk;sp.def;speed;total
 (0001;'Bulbasaur';'Grass';'Poison';45;49;49;65;65;45;318 ),
 (0002;'Ivysaur';'Grass';'Poison';60;62;63;80;80;60;405 ),
 (0003;'Venusaur';'Grass';'Poison';80;82;83;100;100;80;525 ),
 (0004;'Charmander';'Fire';NULL;39;52;43;60;50;65;309 ),
 (0005;'Charmeleon';'Fire';NULL;58;64;58;80;65;80;405 ),
 (0006;'Charizard';'Fire';'Flying';78;84;78;109;85;100;534 ),
 (0007;'Squirtle';'Water';NULL;44;48;65;50;64;43;314 ),
 (0008;'Wartortle';'Water';NULL;59;63;80;65;80;58;405 ),
 (0009;'Blastoise';'Water';NULL;79;83;100;85;105;78;530 ),
 (0010;'Caterpie';'Bug';NULL;45;30;35;20;20;45;195 ),
 (0011;'Metapod';'Bug';NULL;50;20;55;25;25;30;205 ),
 (0012;'Butterfree';'Bug';'Flying';60;45;50;90;80;70;395 ),
 (0013;'Weedle';'Bug';'Poison';40;35;30;20;20;50;195 ),
 (0014;'Kakuna';'Bug';'Poison';45;25;50;25;25;35;205 ),
 (0015;'Beedrill';'Bug';'Poison';65;90;40;45;80;75;395 ),
 (0016;'Pidgey';'Normal';'Flying';40;45;40;35;35;56;251 ),
 (0017;'Pidgeotto';'Normal';'Flying';63;60;55;50;50;71;349 ),
 (0018;'Pidgeot';'Normal';'Flying';83;80;75;70;70;101;479 ),
 (0019;'Rattata';'Normal';NULL;30;56;35;25;35;72;253 ),
 (0020;'Raticate';'Normal';NULL;55;81;60;50;70;97;413 ),
 (0021;'Spearow';'Normal';'Flying';40;60;30;31;31;70;262 ),
 (0022;'Fearow';'Normal';'Flying';65;90;65;61;61;100;442 ),
 (0023;'Ekans';'Poison';NULL;35;60;44;40;54;55;288 ),
 (0024;'Arbok';'Poison';NULL;60;95;69;65;79;80;448 ),
 (0025;'Pikachu';'Electric';NULL;35;55;40;50;50;90;320 ),
 (0026;'Raichu';'Electric';NULL;60;90;55;90;80;110;485 ),
 (0027;'Sandshrew';'Ground';NULL;50;75;85;20;30;40;300 ),
 (0028;'Sandslash';'Ground';NULL;75;100;110;45;55;65;450 ),
 (0029;'Nidoran?';'Poison';NULL;55;47;52;40;40;41;275 ),
 (0030;'Nidorina';'Poison';NULL;70;62;67;55;55;56;365 ),
